MSE,RMSE,PSNR,SSIM,UQI,MSSSIM,ERGAS,SCC,RASE,SAM,VIF
26171.971354166668,161.77753661793304,-2.102289943692274,"(0.008157548782739164, 0.013613380202052347)",0.20127187617360862,(0.14469335330054722+0j),155949.7126928991,0.0011050988852605974,22507.177609605573,1.1067771639182167,0.031338661013782625
32567.8759765625,180.46571967152792,-3.051819936029724,"(-0.0004388477713454369, -0.008399374124591782)",0.06057680822461103,(0.12406843372897002+0.01757802656330444j),372294.6952540105,-0.02349161292932733,53407.28970067926,1.3394665266711978,0.030018868685011357
39036.926432291664,197.57764659062943,-3.8386817430499756,"(0.004631383766435554, 0.04519365309317436)",0.024375735735625192,(0.10811092114870642+0j),7532971.570710106,0.048676694451437665,65154.88702642845,1.4891778558085307,0.009646666997577588
47506.811197916664,217.9605725765939,-4.691484383151997,"(0.00368494788723866, -0.01034555949452508)",0.05711942983858118,(-0.08075240804217278+0.03591276535475749j),510956.2319441648,0.014392658226387538,-69592.12590278532,1.7842351914546104,0.00013190464325654866
47547.7509765625,218.054467912406,-4.6952253758300735,"(0.0006216734469178059, 0.0029582048711091075)",0.060520615962729396,(-0.014977965350076743+0.1304075399951624j),506061.27245807886,-0.018799291089767255,-71780.58917303936,1.7857897432477945,0.0010328141780058745
32198.620442708332,179.43974042198215,-3.002298227356539,"(-0.003611157207405975, -0.012189231386051663)",0.06321389974583295,(0.0540954629122147+0.09173333111507656j),359588.66497595294,-0.008966191393657884,51569.47610906595,1.322184276094959,0.029545516131493903
30298.553059895832,174.06479557881838,-2.738144468838711,"(-0.004943341013765485, -0.020552826623203447)",0.044760925265900954,(0.06271178079478465+0.10634460346146901j),408648.27112536755,-0.02333514001550682,58832.153322424405,1.2968333018612104,0.03313328372899348
31678.792643229168,177.98537199227684,-2.93161179289152,"(-0.004644995164480237, -0.017259123530790895)",0.05962814791760673,(0.0670659950174233+0.11372833868672202j),359201.9771014893,-0.029347824229870995,51696.20772361192,1.3125831680611963,0.03027297815838158
48108.977213541664,219.33758732497643,-4.746186820819686,"(-0.006026054937255647, 0.012618087521046517)",0.14470471407230634,(-0.011391489086582914+0.09918143312138221j),266685.4881906501,0.011500724944734232,-38429.59425953144,2.129088305226746,0.0009689879563443846
54626.03125,233.72212400626518,-5.297922069124583,"(-0.00400034848789014, 0.006051319934852232)",0.2500138311431755,(-0.18803570426461197+0.11768035938516813j),202458.00181070302,-0.018135180025249383,-29199.123822541518,2.21255695692528,0.0012355890600958743
35545.4736328125,188.53507268625776,-3.4317686353506844,"(0.0016850111065249173, 0.008997833629186889)",0.04057524441670432,(0.06672267467252156+0.08360599044488266j),577479.351161591,0.0375702359680199,79413.28081556124,1.3938325621928056,0.02897147325089301
28092.227864583332,167.6073622028082,-2.4097874054092907,"(-0.0002368294138505878, -0.002762815580643521)",0.14841227628703293,(0.08952515080564283+0.012683931211569507j),193739.83280743498,0.007128419716723477,27926.629288997494,1.1759840804849027,0.030881968732848777
33648.323567708336,183.43479377617632,-3.193559896962202,"(-0.0019615457163979825, -0.016089931675631882)",0.01117768959067019,(0.04541058123345337+0.07700579050735612j),3102207.480352341,-0.01795988603792993,159954.1982640761,1.4549915522021533,0.03181433167293927
49196.531575520836,221.80291155780807,-4.843270435645989,"(-0.0047874851303991535, 0.013764722181987368)",0.09701081288773,(-0.019744300473550924+0.1719062364947922j),334008.27186224237,-0.01894229364997584,-48004.98775281713,1.9026753944147197,0.001523287709678482
29090.332682291668,170.55888332857853,-2.561412460335757,"(0.003840061160062773, 0.006198216589582681)",0.10423848691846238,(0.10902344834031664+0.015446451714991316j),239663.823084084,0.0009990619320761895,34577.909370899164,1.223147651353757,0.0333281094531973
38467.8916015625,196.13233186183888,-3.7749094166809893,"(-0.0004408980298085342, 0.01567217838468059)",0.02442331307485431,(0.06908760304341774+0.08656933356250211j),2742881.062933219,0.009415235191475961,150995.0976526144,1.4665642733590187,0.027734434119354296
26925.159830729168,164.08887783981328,-2.2255084808587493,"(0.004818347065461481, 0.00947188582587625)",0.1684031913737182,(0.21402104915922227+0j),175381.56303353587,-0.0029381530971866465,25302.16369769121,1.1351734599267689,0.03207258332302466
