MSE,RMSE,PSNR,SSIM,UQI,MSSSIM,ERGAS,SCC,RASE,SAM,VIF
33588.625325520836,183.27199820354673,-3.185847880161611,"(-0.005299667848567849, -0.014680616257533951)",0.0962633180455187,(0.06302361919639995+0.10687340890669084j),273337.174112534,-0.029895315800289923,39333.3854574809,1.3059199347899169,0.02812106706098474
35453.09765625,188.2899297791839,-3.4204674503292685,"(0.0015444365310672197, 0.014354670314400441)",0.022647142008151214,(0.06052565834809397+0.07584089874030435j),1650538.0207169354,0.002337440814654658,105818.67893435626,1.4580425350399506,0.0303351878866774
41254.494140625,203.1120236239721,-4.07863824286998,"(7.586375373220377e-05, 0.0013347208540487089)",0.027195338850704017,(-0.006578901695038853+0.05728003542988736j),687078.8515980656,0.004473821157618363,-98610.54327805211,1.774900625631547,0.0012644973356929162
46433.072916666664,215.48334719106873,-4.592199840887589,"(0.0026362354561338414, -0.0113154829176257)",0.024862384804450896,(-0.10631403383782484+0.04728070708605486j),2001502.211358031,-0.015127089323125604,-66417.14421623529,1.6815370489321886,0.0005058533599077934
50410.021158854164,224.5217609917893,-4.9490943781490335,"(-0.006620155191836463, 0.015458008156122973)",0.06856793033059545,(-0.11035986656668438+0.06906767419548406j),432406.1340140288,-0.0022504612215369854,-61526.87407135674,1.8059091682223156,0.0009813245110855944
32955.482747395836,181.53645018947526,-3.1032023586050297,"(0.001132049850660105, 0.0013155651202260653)",0.018851653594816494,(0.04168283667767492+0.052230143082445966j),1692512.799653048,0.008848946062297773,150652.17001667107,1.409158509695733,0.031161959803654354
42217.661458333336,205.469368661933,-4.17886731070388,"(-0.005376216931310941, 0.037322504284628084)",0.0195691009966564,(-0.004914970084641579+0.042792805491744516j),988084.0780008244,0.02262988678315681,-128441.49471374958,1.6591976717037031,0.001621307726519863
41317.442708333336,203.2669247770855,-4.0852599165133014,"(-0.0038070026220200885, 0.01941648182008906)",0.024441702903148385,(-0.04305359042424278+0.026944680606066376j),802688.3456423916,0.043301874019875564,-110027.51430585196,1.7419026102439743,0.0008806480453830991
33590.397786458336,183.27683374190622,-3.186077049914032,"(-1.0683304759328063e-05, -0.0043829943172218515)",0.057329792880904756,(0.09580174635994292+0.013573199819744442j),429685.19120579376,0.0035388127735431637,61342.937178266235,1.3574511392198882,0.028200734753005746
45293.265625,212.8221455229695,-4.484261923455386,"(-0.0004965989180952336, 0.002164571787618442)",0.05081287335693201,(-0.007085304034041979+0.06168909111493447j),518177.9498696121,-0.002837120019557108,-72515.73166143705,1.7793589079152718,0.0004546360666795429
17929.501302083332,133.90108775541495,-0.45960768187616524,"(0.007539371321906533, 0.009323928488659755)",0.3924690103066502,(0.16029074638950735+0.2008502608268987j),88949.7089771163,0.024679267966728147,12841.386636418521,0.7707522030480346,0.03725153844112233
37446.684895833336,193.51145933983688,-3.658059343245496,"(0.005290968636943147, 0.03931951121941699)",0.022929237022665916,(0.038823226633525366+0.048646945448348126j),2713712.3539694347,0.05417078627713547,20097.88550591161,1.4429712687599041,0.018984377541199516
48560.445963541664,220.36434821345685,-4.7867522459466,"(-0.003886101358687531, 0.0291557830055682)",0.04315225715173695,(-0.011799404035363729+0.10273299595080793j),917438.9871197486,0.02889296869715288,-104407.4432587055,1.711707281314362,0.001213761293191212
36417.688151041664,190.83419020459007,-3.53704930762985,"(0.005412785135150239, 0.03640594306670182)",0.016373152706369746,(0.11657614751618849+0j),7137755.412469245,0.021884326080484004,-116435.64620564228,1.4859871209971065,0.03061338797384851
40881.591471354164,202.19196688136293,-4.039203521074502,"(0.002036144568072271, -0.031885313902593644)",0.013190572126621678,(-0.008741967495965959+0.033522550448737344j),10472125.452090606,-0.054530053943310924,364450.78958095744,1.57044459797459,0.018910336123755308
33114.199869791664,181.9730745736623,-3.124068238477882,"(0.006418909306978498, 0.03206706980749537)",0.024974628342516385,(0.11171179043321329+0j),812578.4226425053,0.048510484332109104,110937.76901976824,1.4009042004606826,0.032492323297977126
20087.654947916668,141.73092445869628,-0.9532179784159823,"(-0.007452987204603484, -0.009528143783632552)",0.3305152251359223,(0.3453994802759836+0.04893622863415825j),102653.64440165723,-0.017704293642600417,14825.945899169084,0.8655107043862568,0.03650266419450301
36376.249348958336,190.72558650836112,-3.532104762618678,"(0.003309665414160267, 0.028301548624304784)",0.03725109878506091,(0.04602514377741264+0j),2436045.8214696296,0.02071895081478811,131097.6797772936,1.416567612293622,0.02837318808039234
35203.857421875,187.62691017515317,-3.3898281148806837,"(0.004380344675536874, 0.024747015689956364)",0.016641679499114184,(0.04551528308647717+0.057032340827177584j),5572830.450006626,0.033731139154521785,59238.35398563621,1.4608581387451824,0.020640811849253038
36128.158854166664,190.07408780306343,-3.5023838791379314,"(-0.0011097243975922459, -0.008387323157025634)",0.026663849148836752,(0.04126725614890928+0.05170940523901284j),1156872.5372379506,-0.007036321964721626,136808.74634992977,1.4504115293107036,0.028361615854672256
42172.421223958336,205.35924918045043,-4.174210937488748,"(0.002664106548344593, -0.02453161164386676)",0.020343118848428775,(0.02724612836873055+0.033167618983647236j),4084154.533917623,-0.026331932709937878,-536607.4508580302,1.669862709013068,0.0006747346653000907
36846.845377604164,191.9553213057772,-3.5879286999157642,"(-0.008616269928141341, -0.037594860126400176)",0.02725669443822976,(0.1785186489878314+0.02529253783285729j),1279431.2757444745,-0.0419836034096294,94063.28466626043,1.447544966719058,0.028054540226203174
37505.784505208336,193.66410226267627,-3.664908120813065,"(-0.0015010614410665057, -0.023645904893080272)",0.015220062459885402,(0.007790402829290721+0.0132107123922548j),4301829.703658271,-0.003781895410316219,235031.26164025586,1.4973352928966508,0.028120250841729977
25691.841145833332,160.2867466318826,-2.02187786170096,"(0.017173668304043474, 0.031016118526982175)",0.19549230929618924,(0.2256924605274211+0j),159407.90362927367,0.011034384097362829,22974.847531589963,1.0922026583405928,0.0337671655993284
31118.30078125,176.40380035943105,-2.8540843234807243,"(-0.007095288580750807, -0.03588152090690696)",0.0402664244679082,(0.05271037524096937+0.08938454437530971j),472553.05252331425,-0.03854506208035315,67176.14588358317,1.332945719847851,0.03202452922189853
34338.736979166664,185.30714227780499,-3.2817687532340925,"(-0.0018057505160349893, -0.01550160800024461)",0.03596486103172603,(0.05386693981426716+0.09134580905901271j),661413.3369670839,-0.018153524808190075,90558.15500765377,1.4005028642154456,0.0286103090860326
51530.513671875,227.00333405453543,-5.0445702975057625,"(-0.008082013952418926, 0.014175400680897746)",0.23349850975928146,(-0.01897354318220753+0.16519554115345786j),210326.41863128252,0.011664031429394754,-30347.667656797843,2.35676142760388,0.0029016729818929295
36323.027018229164,190.5860095028729,-3.5257459183951556,"(0.0004425546523910621, 0.0065529307573847515)",0.01056262236577041,(0.14929640700591004+0j),5597851.444797851,0.000843979289269208,42017.18526080583,1.5028263942445903,0.029268505402295964
35194.979817708336,187.6032510851247,-3.3887327858457965,"(-0.0009812011082683649, 0.0006795498406777685)",0.007402398204304742,(-0.005732090698353422+0.020773399584324326j),11534213.424284833,0.012642577629644334,-101765.46954684347,1.5080219289800922,0.02029641669379195
32054.748697916668,179.0384000652281,-2.9828493454926903,"(0.007078830821529938, 0.02260593895731006)",0.06434980840673377,(0.2078487966160937+0j),390882.73055128136,0.03261120741392782,55822.61055708276,1.3120244873716322,0.029850533077702735
35625.458333333336,188.74707503252424,-3.4415301848309787,"(0.0018834428136442873, 0.016198175555344117)",0.03574301426163756,(0.054239485284467905+0j),673795.8396993404,0.03672735935618467,90368.66018343136,1.4008402940037452,0.028481511531611613
30966.432942708332,175.9728187610471,-2.832837394694352,"(0.0022248909731514494, 0.012402306897283834)",0.04574613214869589,(0.06760195606730865+0j),474804.09065122117,0.019603247604953775,67702.0425245803,1.3101036186587773,0.031037529136121327
41761.789713541664,204.35701532744517,-4.1317166029637695,"(0.0029285744896582933, 0.0179687656470152)",0.013748480229305337,(-0.02523901528577678+0.015795597974192485j),4483523.791625101,-0.006945006308342734,-281904.2393718315,1.5885655816332471,0.01059767772112616
36844.176106770836,191.94836833578668,-3.587614075536627,"(-0.0011951743594397896, 0.011434205867030367)",0.009271687016543347,(-0.008167931680682375+0.07111512494725347j),1555968.0371540124,0.013282280445669266,-194973.9686674277,1.728863615589665,0.0004534622970255039
40253.842122395836,200.6336016782728,-3.9719989702602216,"(-0.0009132734177382173, 0.004029075823555638)",0.008642056508479549,(-0.020112820308242+0.01258741754062008j),7720504.4496021075,0.01550979938483047,-319884.606611171,1.6215472328974112,0.009831988142029797
42863.776692708336,207.03568941781108,-4.244829918154254,"(0.0005582311470471512, 0.004596108015392814)",0.01164423837249444,(0.04176153253468828+0j),12764397.057972388,-0.015858080386499857,-366639.67401885916,1.576108540398659,0.018121884742366343
35635.28125,188.77309461361278,-3.4427274888602355,"(-0.005133892558379071, -0.03728906603712113)",0.022321095662874796,(0.07081784995085978+0.12009061257026704j),1949996.9192199558,-0.053646599391596266,31147.30766844084,1.4390751575150773,0.02913504455286735
35866.934244791664,189.38567592294743,-3.4708681467843245,"(0.00228454940275288, 0.018722221818093753)",0.01328481892672515,(0.03405689781252381+0.0312445965503895j),13763426.07341989,-0.008915606221851493,338071.7130787915,1.4786938990006817,0.029990678243362257
27894.746419270832,167.01720396195967,-2.3791497584336607,"(0.0009781328868213339, 0.0026724636115316087)",0.08506736201154615,(0.07115665307376286+0.08916193012605472j),274131.3808486704,0.0021065819905677513,39548.14183825018,1.1789025585711734,0.03417323143041703
41336.761067708336,203.31443890611493,-4.087290026694144,"(0.0012683604254757092, -0.005090846755682219)",0.013793250255157258,(-0.05575901071374563+0.024797530088890664j),7832444.69791205,-0.00018306238605037226,-188661.56866915277,1.6437999203352456,0.0004938394104632675
41538.437825520836,203.80980797184623,-4.108427176797197,"(-0.002531105901908274, 0.01024153048173197)",0.02595797372780526,(-0.022913023942631706+0.014339898386400873j),2498994.0239679464,-0.001983527589962744,-124563.04591456128,1.7021831576409232,0.0006849428140269414
39286.791341145836,198.2089587812464,-3.8663911833947746,"(0.001514063848051992, -0.01044587088313297)",0.014261410888124501,(-0.029308992938022214+0.06743825395704658j),15173397.327893887,-0.017274600130724165,586322.6122793572,1.532106178175966,0.00979973397680508
27595.3203125,166.1183924570064,-2.3322799758898354,"(-0.004735699082643601, -0.008517909364862781)",0.13756531332090013,(0.15550427191656588+0.022031858872563877j),203374.83795647987,-0.01975192102548013,29319.709202600046,1.1646946047041553,0.03204249477345004
48414.217122395836,220.03230926933398,-4.773654716155374,"(-0.002548707355163491, 0.010024485248513215)",0.08472480087004934,(-0.00751160488585955+0.06540073312264459j),356987.6756189311,0.021801451610508508,-51304.640722833414,1.8481100053685042,0.000875717948219284
34570.789388020836,185.93221718685774,-3.311018544065258,"(0.0017275237144117937, 0.029898811537544173)",0.01589290137248577,(0.03898739779014264+0.048852658007367024j),6747260.3039532555,0.02124059570862066,145410.17499025914,1.4659839217367023,0.02108745242953337
37608.289713541664,193.92856858529552,-3.6767614184655963,"(-0.00025569109972570437, 0.01673931560042419)",0.007011035677280255,(0.02835981394857111+0j),10719558.833781265,0.004999809197685158,-381365.8725173596,1.5887167367149244,0.020622332442087093
51104.03125,226.06200753333144,-5.008477181166539,"(0.004802934966832879, -0.013924148772073852)",0.069609582830018,(-0.11121071871538393+0.04945839440569653j),564068.5611539382,0.013075971202595321,-64790.84668045848,1.7911228837281408,0.00037117794419463967
40687.939453125,201.71251684792642,-4.0185825465563045,"(-0.00023556719495322663, -0.04133174406692131)",0.010786997355894182,(0.03319102025305413+0.04040453375736295j),18212712.259503882,-0.021625826618454354,-273827.74147667893,1.592109163921239,0.01921249885089703
30047.921875,173.34336409277398,-2.7020699950409166,"(-0.004767158205571277, -0.01929348322927429)",0.04490112463109422,(0.07684788253947411+0.1303161462159207j),429604.06031947443,-0.0008207315857985906,61689.40124247107,1.2806206185907818,0.03138461844510793
42946.7109375,207.23588235993302,-4.253224672008506,"(0.002724723657812171, 0.004103796000181979)",0.018750447181141175,(-0.003547001597931928+0.030882415730975266j),9005740.533695947,-0.019630826613145805,-129527.7487596729,1.6591242444384375,0.02033103719927661
31975.59375,178.8172076451257,-2.972111756626875,"(-0.0029729652782151963, -0.0037905502664896304)",0.0917915558611448,(0.14017095309760055+0.01985943291857641j),276501.40017541894,-0.03123889899920568,39843.611511676594,1.2906358267660212,0.029444344939551795
30678.076497395832,175.1515814869961,-2.792206841357292,"(-0.005716209449208955, -0.019528078273568363)",0.09240210684471879,(0.12853748192281925+0.01821120170304852j),274081.7916622276,-0.01785539803003822,39475.92471547959,1.2645394652668458,0.029733603019167484
28546.465169270832,168.95699206978927,-2.479448965010077,"(0.011954784065246868, 0.031632742597752624)",0.12916758499145575,(0.16411737756347763+0j),214729.68492383134,0.022433838435801823,30951.65168175909,1.193097519366604,0.032036663846364714
24608.7998046875,156.87192165804402,-1.834829913393704,"(-0.014890417374237968, -0.02941068898178172)",0.1894581245212702,(0.08512614447362868+0.14435415425174183j),158518.5396806096,0.012820137107343824,22881.084225286148,1.0449154606361768,0.034414036583482265
37161.718098958336,192.7737484694385,-3.6248834262519263,"(-0.008181595653488272, -0.04078896157370284)",0.03236489276367372,(0.06202546417013339+0.10518076999393623j),1286903.1507080325,-0.010778603263381065,-68720.47972698598,1.4335666323939986,0.028352186165518278
