MSE,RMSE,PSNR,SSIM,UQI,MSSSIM,ERGAS,SCC,RASE,SAM,VIF
12165.099609375,110.29551037723611,7.279646915283399,"(0.019088626616080923, 0.020425401240587185)",0.6595290314106511,(0.30665702403537803+0j),48308.61294454445,0.0025075275571407474,6975.993055604906,0.5854184637466404,0.036831320462061334
14796.155924479166,121.63945052687129,6.42931461529225,"(-0.0041561986327717975, -0.0011922275566467189)",0.6030291496495778,(0.1942351452186515+0.24338385376356594j),56956.04315091678,0.0036860089829788257,8280.60799258679,0.6921204152820667,0.03549144212965757
11153.071614583334,105.60810392476202,7.656858700259792,"(0.008392804344372298, 0.008688927909477263)",0.6855513320105878,(0.27136153244155625+0j),44274.79884728736,0.003811154420542436,6412.077992362321,0.5938403090403511,0.04098277962959474
12145.422526041666,110.20627262566168,7.286677328312136,"(0.016330523379606113, 0.016500413130823486)",0.6628875367065228,(0.18248976326652797+0j),51816.77176061046,0.019815538349811705,7480.086463027692,0.6381392609402337,0.035719548850851955
9895.540690104166,99.47633231127978,8.176408319249575,"(-0.002161965586976431, -0.002351606894381565)",0.7456104757205452,(0.22166039265482754+0.2777487077858489j),36660.222828669874,0.020017369740473006,5301.336879413347,0.573583090491132,0.0333937574279976
13435.908203125,115.91336507549507,6.848133328769423,"(-0.025605253099228623, -0.025674479293710712)",0.667984724612726,(0.1163984596347431+0.19738473180803046j),49017.54351796696,0.010950294208438294,7082.765916892881,0.6907279142865845,0.031128767053423368
14866.162434895834,121.92687330894627,6.408814870630593,"(0.010448034995007372, 0.012347645983775912)",0.6366994760577699,(0.2620683069781128+0.037129860698691466j),50361.527421969586,-0.02669514675696071,7272.5797066319965,0.6684969839227572,0.0308790153235874
16755.179361979168,129.441799129876,5.889312796067435,"(0.003836296110424481, 0.01048432628432755)",0.31922593066348354,(0.24267598548562436+0.034382354890213546j),185218.32391796427,-0.02915230823487573,26736.914882493842,0.7483953624493155,0.036977142852736435
9916.774739583334,99.58300427072551,8.167099125600867,"(0.008507681751385774, 0.008795882539675325)",0.8276337801242644,(0.3232164814881467+0j),24597.39327352386,0.0041518866289565574,3549.967585280013,0.5253859639350636,0.0362717993446842
9131.864583333334,95.56078998906054,8.5252089816657,"(-0.03112170969970481, -0.03147273834217396)",0.8446302481346587,(0.16479249252509925+0.27944976285008016j),23228.682171752356,-0.020291632311553898,3352.748619120452,0.5265253058930691,0.04411631858033854
