MSE,RMSE,PSNR,SSIM,UQI,MSSSIM,ERGAS,SCC,RASE,SAM,VIF
10000.025716145834,100.0001285806465,8.130792440313233,"(0.00630172463551924, 0.006778088131274128)",0.7908814551620137,(0.2587025196480931+0j),32660.105296760397,-0.003648997507405887,4714.22764242016,0.5838528189594768,0.03839682773942488
16631.61328125,128.96361223713456,5.921459826548718,"(-0.007861628852604927, -0.011558967839996312)",0.4080951716453576,(0.08559127923673238+0.14514291469374357j),117104.76115442523,-0.000702548893279332,16895.837366464824,0.7813127693279323,0.028752553839237596
14187.845703125,119.11274366382885,6.611639041188766,"(-0.005368724283608001, -0.00318532747505886)",0.7433201656156377,(0.15307526153278078+0.19180899021016307j),48996.400092430384,0.014003539808761277,7071.720540845396,0.7053304161479163,0.035699659234091595
9066.95703125,95.22057042073419,8.556188032757575,"(0.001822784336118384, 0.0019825918229742314)",0.7960911257296331,(0.23267253224619328+0j),30483.413664724245,-0.03079126643377064,4407.15500157699,0.5231709326678501,0.048268259131594944
10285.134440104166,101.4156518497227,8.008703880054913,"(-0.007621470497782479, -0.0065211387848749134)",0.7547382120247444,(0.17325087443852835+0.2937932125035475j),38093.42943037595,-0.015000654627371516,5495.98218114414,0.5781227440473939,0.039007308625425056
16650.857096354168,129.03820014381077,5.916437673116583,"(-0.006499273251699221, -0.006571150302775616)",0.613183232419082,(0.1287879557840664+0.018246688861659983j),66880.1612436295,-0.011284995541463774,9653.85499130194,0.793290348562966,0.03174965952136679
12070.876953125,109.86754276457174,7.313415379894437,"(-0.017301765580305523, -0.01834716689641925)",0.7071977894063212,(0.13860141576559992+0.2350357845366228j),48046.04795363119,-0.01579490791772023,6939.800950844276,0.6535999985298705,0.03234363910693205
14224.731119791666,119.26747720896785,6.600362948900393,"(-0.003963852519435232, -0.003943606962860725)",0.7569842205705383,(0.12467887742102626+0.15622726585080826j),33506.08545040145,-0.006771448944417177,4845.474814369673,0.7040875403810368,0.03473871458993791
12283.075520833334,110.82903735408574,7.237732388107783,"(0.036022646749337965, 0.03942587847317363)",0.6789427503404991,(0.44480195304735604+0j),46102.00605283622,-0.025681656675578046,6675.26276358659,0.6352151731271382,0.04103415106300857
10519.412760416666,102.56418848904654,7.9108886458907275,"(0.0007005728551181053, -0.00038180902148523405)",0.7207137517905912,(0.10910688374542983+0j),41619.948811464106,0.004563930321429466,6013.991697510506,0.5990353621080059,0.03207227036663155
