MSE,RMSE,PSNR,SSIM,UQI,MSSSIM,ERGAS,SCC,RASE,SAM,VIF
11977.627604166666,109.44234831255525,1.2923663558229415,"(-0.00044892474896541097, -0.002317191524737975)",0.31724615278655055,(0.1479858412667791+0.0209666469592337j),111825.37590931509,0.009616153147739516,16142.284735798848,1.1091185811023005,0.027902036258513344
15099.486002604166,122.87996583090413,0.2864527806457682,"(0.007172614054030059, 0.022900621034981323)",0.11126972489852098,(0.1087682277282103+0j),264324.5346737572,0.0019128014611453914,37976.555271113975,1.322236271365698,0.027300393339240458
20737.606119791668,144.00557669684764,-1.0915117952542306,"(0.0001737593723586616, 0.002443073889204369)",0.04005832741750074,(-0.014400600203199044+0.052188536088776175j),5590931.077189654,0.024124701083848798,45779.08880871513,1.5037351130172334,0.008635958133053654
25423.997395833332,159.44904325781744,-1.9763639346683775,"(0.007379506698816205, -0.01855754951892649)",0.10420493735482127,(-0.024161583957621795+0.0926516733806823j),392454.62675395317,0.012610019998608274,-53770.12635718381,1.7907761480908873,0.00041927431537922406
25348.3115234375,159.21153074899286,-1.963415939280064,"(0.0008301795040724893, -0.005868212675390577)",0.1003236111846324,(-0.14638107076869888+0.06509959485231702j),388039.3364693641,0.006848812747102777,-55042.764178392565,1.7868791230749554,0.0001333545064024599
15194.87109375,123.26747784290063,0.25910421833597713,"(0.0015304252630927362, 0.005304063751849699)",0.11999938340977083,(0.12079706070247143+0j),260068.90294973677,0.007512917325573355,37372.80973539959,1.3166343134226,0.02675532047095522
12631.837565104166,112.39144791799849,1.0614090954059452,"(-0.008065980642079293, -0.017546203132642064)",0.10193422644422245,(0.09327411071716644+0.013215084180369643j),280099.1697331213,-0.004011864936629768,40343.25797297506,1.2904460856361468,0.030008610321076778
14604.124674479166,120.84752655507339,0.43131910074156987,"(-0.0052953065135324, -0.011756847588840791)",0.11869803598310862,(0.05087742720732813+0.007208318345314751j),262705.5609851605,0.0018450633211131544,37833.95447759892,1.303752929055305,0.02629726643451827
24184.03125,155.5121578848419,-1.7592125344267129,"(-0.0011341950402493778, 0.0035480469978689615)",0.29014709522275123,(-0.12052739067343103+0.07543092257758663j),200152.4920975417,-0.00425206554344668,-28860.471361579766,2.1370632351848005,0.0010425043128385666
28831.192057291668,169.79750309498567,-2.522551572297182,"(-0.010416013849911783, 0.015177287583840673)",0.4255906677884635,(-0.011147742535920215+0.0970592231074523j),156266.0876151181,-0.019889519136840082,-22538.692561716554,2.206913680839666,0.0006089671999791596
18086.3623046875,134.4855468245101,-0.4974378443571237,"(0.007920052168706325, 0.029885207820399263)",0.0694967742214632,(0.12913454252787712+0j),411087.7881137322,-0.0010582491857406666,57261.52360796939,1.3933400168734054,0.026644024196202886
12909.259765625,113.61892344862717,0.9670610196317284,"(-0.0014195925364278571, -0.0016192508937798802)",0.2530902378440283,(0.08940101898439451+0.151603347767432j),139231.6018322318,-0.006058259272729437,20084.322286735813,1.1779401815807085,0.026596805584455274
14894.87890625,122.04457753726709,0.3457046511353301,"(-0.003270662331629929, -0.017985319297612726)",0.02676168048213008,(-0.015148299068526746+0.03485533746454049j),2634699.6736570727,-0.023084681844064675,115251.64327028791,1.455030323868564,0.029140448022928565
25974.857096354168,161.16717127366283,-2.069457250031319,"(-0.006756985750180526, 0.016034459191591636)",0.1755967057410032,(-0.011587707494758157+0.10088983338228744j),255499.10795256527,0.017849004610316133,-36756.363550215574,1.905878894080838,0.001279385955258626
12723.854166666666,112.80006279549079,1.0298875907599818,"(0.005663620199017526, 0.009568227305016273)",0.19250086105389078,(0.13810151086892708+0.019566234162264943j),167929.3713857292,0.012796731866259575,24256.497670862016,1.2082529884219675,0.02885805947744575
20280.519205729168,142.40968789281567,-0.9947162735376041,"(0.0039143544401253685, 0.0004039786767853724)",0.04443288886417448,(0.03751023442969749+0.047001717432741515j),2187159.942251658,0.006971159518452545,111903.83778329086,1.4723321420567703,0.024325668563359434
12113.1064453125,110.05955862764715,1.2435190826095988,"(0.009640788223435233, 0.016380962275892624)",0.2783361410194887,(0.05477349815379375+0.06863322829540006j),123747.79235805798,0.0021609696082726722,17857.23451577121,1.1314986357356103,0.027889910428090164
18998.901041666668,137.83650112240468,-0.7112103875969354,"(-0.0016742725403538757, -0.022275666859850395)",0.021855426368474238,(-0.026815826211763014+0.061701625230216224j),10697282.999526732,-0.002337823452294721,-699630.3553421068,1.5476035867297497,0.017053186957413216
12843.3681640625,113.32858493805745,0.9892850982675333,"(0.0043169087325034055, 0.007618339070890319)",0.24384523564594054,(0.09251941385142799+0.01310815866229489j),138573.65303336192,-0.016322202917310104,20002.67755886918,1.1762262968041164,0.028515128075069545
18949.149739583332,137.65591065981633,-0.6998228575937757,"(-0.0016200129910835474, 0.030681983457897032)",0.01645497991654082,(0.017992773374291813+0j),13193928.52875778,-0.0013572145416689888,690701.2154993297,1.6007024697947048,0.019103582361468956
9810.728841145834,99.04912337393922,2.1590616950343056,"(-0.007678018070999103, -0.01970751120143579)",0.23913679225051085,(0.06877768982875133+0.11663097521929633j),148985.78358853582,-0.02099780154839674,21482.710460760987,1.0578663448570127,0.031130668364862068
13864.430989583334,117.74731839657044,0.6570539152165557,"(0.005553569761671348, 0.008686225875714323)",0.11333582261260185,(0.13025365082829193+0j),290176.825801637,-0.0004460392444216044,41685.934154947594,1.2998828322452698,0.027445765691213292
15833.333984375,125.8305765081564,0.08035069149206604,"(0.0006437040163307907, 0.004573744959993985)",0.07547099307674103,(0.038217191486926115+0j),392323.1369041247,-0.0023068324046292012,56215.49541730402,1.3738997886220006,0.026629943840987793
24987.287760416668,158.0736782656008,-1.901116763749863,"(0.0021474929820400686, -0.005691535688074075)",0.07320021557873184,(-0.08092254944770816+0.03598843180882695j),1248670.0274168695,-0.007297095233043424,-69478.57810713307,1.738475616201976,0.00013452963694455739
16664.467122395832,129.09092579416972,-0.14183988925732197,"(0.0013788838761830096, 0.004402532460570543)",0.038233645680494865,(0.038235186258827526+0.06483798848379338j),2828830.8913801527,-0.02611170314081224,147192.6224300462,1.4626470051066829,0.026892918045404477
7404.949869791667,86.0520183946412,3.3808531914199897,"(-0.010195114403639991, -0.009917196229968415)",0.4287635059077169,(0.09619509773243087+0.12053603158649023j),85999.89392612058,0.03106628645778849,12418.062223401781,0.8477759981769714,0.032076272076713076
12483.081380208334,111.72771088771279,1.1128564011994717,"(0.007861412720216692, 0.006656626819365844)",0.3071946866527005,(0.14848296227563418+0j),119696.94704517342,-0.020898024355744702,17258.02458308807,1.1251820410135525,0.026181593117753726
