MSE,RMSE,PSNR,SSIM,UQI,MSSSIM,ERGAS,SCC,RASE,SAM,VIF
17291.0927734375,131.4955998253839,-0.3021499904720165,"(0.0036630452025729586, 0.008796157839627507)",0.15216830795146546,(0.15468242436120067+0j),203746.85048048873,-0.008388526481138749,29301.872015311397,1.294502324972081,0.026574471406921263
16671.866536458332,129.11958231212773,-0.14376783057343662,"(0.004253353355317909, 0.021630133453052158)",0.0442138255070755,(0.09530727236682304+0j),1347146.0699196388,0.008916151315722813,76335.31804673914,1.4419291868981372,0.026140422622526204
19927.177734375,141.16365585509254,-0.9183835246442831,"(0.0018039522485322993, -0.009628034242097188)",0.057338578895914295,(-0.05874739452524124+0.026126544655937996j),502876.84348189656,-0.03352486215677949,-72167.52098184261,1.7789257750656207,0.0003460837265495168
25472.13671875,159.59992706373646,-1.9845793517735686,"(0.0010427057729937533, -0.009685109479876955)",0.04020825554692161,(-0.014579497091599688+0.05590754335290118j),1449603.1886802528,0.0010928325316282596,-57296.384496211904,1.6893199206136993,0.0004894114931321795
27680.2666015625,166.37387595882504,-2.3456282678573555,"(-0.0005729445402508372, 0.0005614907985255)",0.11913407275791475,(-0.025384833997627396+0.09734243220544692j),343500.8677001656,-0.01883408038849248,-48648.020295805036,1.805264804257839,0.0011276359054302988
14739.894205729166,121.40796598958886,0.39113075487451326,"(-0.0035894966529113367, -0.010653295588820224)",0.03932148222828529,(0.1056550755088043+0.014969220357039455j),1281820.947247876,-0.021044939566627632,110288.94527647592,1.4153310976253393,0.02838650814883884
21978.6171875,148.25187077234472,-1.3439292284844369,"(-0.002311780377327734, 0.007124650372574279)",0.039348719196712845,(-0.011401395966192466+0.09926768861528378j),709723.1133520632,0.016930817342660175,-94396.40965656526,1.6818997723781826,0.0007828519475907543
20280.555338541668,142.40981475495875,-0.9947240111437998,"(-0.004271968618109573, 0.013803128673872065)",0.05490790881787929,(-0.010418802153611703+0.09071261194644444j),608041.8305444239,0.017629099464963573,-83239.91715144498,1.7534296086012675,0.0010988961171488423
16239.59375,127.43466463250884,-0.029677188097409546,"(0.0026909299553807965, 0.010605879396726553)",0.10321392661251949,(0.10242705725398141+0j),317543.985283436,0.024111135444061377,45296.75610396589,1.3503304478212985,0.026412511059790256
23803.032552083332,154.2823144501123,-1.6902484862093572,"(0.01170662253148376, -0.03556400741906666)",0.09302948930815913,(-0.14734943108951323+0.06553025070300202j),380850.3116671709,0.023765787842224856,-53693.39499997313,1.803225714766257,8.387030640689891e-05
6242.766276041667,79.01117817145665,4.1223036629914125,"(0.03326742468093508, 0.03924103928244605)",0.5905908582407545,(0.36598409721849956+0j),55107.79093555609,0.019640876799052014,7956.252103198205,0.7677179056272324,0.03504062628598179
20287.260416666668,142.43335429830566,-0.9961596213203521,"(-0.0037205090853338475, -0.022191361252177272)",0.03650273416549822,(-0.03562947405648805+0.08198130604004247j),2116598.5148341698,-0.018546085741459696,-13606.430829098144,1.4829663310188312,0.01607000104114621
27067.065104166668,164.52071329825515,-2.248337256367183,"(0.001979653681200176, -0.011874139335877462)",0.07528392759860052,(-0.11192374571139398+0.049775496667042625j),728854.391536866,-0.020685679639858862,-84470.1902336955,1.7171952862774635,0.0006791399504879813
